,puuid,gameList
59,oS-FCXy8zKVev-gs_NlwJi9plw2Vvix0qKftNeWXJ8taQBfYzhdm5STFJ-9c9_S-wQP0CBDMe-4Y3Q,"['NA1_4206678029', 'NA1_4206690708', 'NA1_4204882749', 'NA1_4204856370', 'NA1_4204809676', 'NA1_4204764774', 'NA1_4204739341', 'NA1_4204745674', 'NA1_4204248044', 'NA1_4204099845']"
60,43aBbmSn37vRF2hxYbk0-OJtn98WYhWYWPxXdoiTehu1Ca1Ief-ocbQegK-QUYvCmy5lIHjGwycOlg,"['NA1_4334078158', 'NA1_4332039671', 'NA1_4332052326', 'NA1_4331870951', 'NA1_4331644244', 'NA1_4331499399', 'NA1_4331196938', 'NA1_4331053901', 'NA1_4330762819', 'NA1_4330516577']"
61,Y49MI5iqxlD6XRxiJFkkyhEdVfDsNZ_O1Q47njA515IbyI7wqTL_cPQk3Eb_4EUJw27N2A7wwfJi3w,"['NA1_4262789626', 'NA1_4262745211', 'NA1_4262723513', 'NA1_4262715999', 'NA1_4262714408', 'NA1_4223595053', 'NA1_4223538551', 'NA1_4223135121', 'NA1_4221903883', 'NA1_4220624644']"
62,GYB9sPJLzor6S3JS6dKT2jkeDMLB5p35L1RErSyqYPKUKCgJr2UgxF1vMB1CgE6TNRGDk_SQtfcNfQ,"['NA1_4219460672', 'NA1_4217292720', 'NA1_4217261467', 'NA1_4217239125', 'NA1_4211840016', 'NA1_4211716623', 'NA1_4211763447', 'NA1_4211700768', 'NA1_4210739722', 'NA1_4210746617']"
63,1eKzeGjd6CMCOpy9uGXPtm8JsVZ7Pcv0q12NpLVDO0_iKNuXKZFNKEq6Qw-pqIW0QX8SnI2M-c4uNQ,"['NA1_4299432656', 'NA1_4289620208', 'NA1_4289620186', 'NA1_4286712692', 'NA1_4286200122', 'NA1_4281215631', 'NA1_4278457805', 'NA1_4279478836', 'NA1_4279465365', 'NA1_4278603360']"
64,5PhHddCPy_o7--lu6vNW6-2sL3iKE6av7Qa7s0i9UYzZ9w4r6VX9o7Pp8Q81Mk0k3HYdj7NRESZZbA,"['NA1_4333110083', 'NA1_4333037302', 'NA1_4333083888', 'NA1_4333080460', 'NA1_4332140289', 'NA1_4332086488', 'NA1_4332102125', 'NA1_4330802923', 'NA1_4330736697', 'NA1_4329505459']"
65,-pGc3nrQMCk2lTNNLWZBgMfF07XeaN4bPp2PpjihHgKeeHZRYsMjnUpsuyt98zDvqxY-2Yp7Uoinsg,"['NA1_4231920730', 'NA1_4231865333', 'NA1_4231829424', 'NA1_4231843241', 'NA1_4231778177', 'NA1_4231126248', 'NA1_4231086108', 'NA1_4231085041', 'NA1_4231132657', 'NA1_4231091881']"
66,FVaW6vgoaVr0T0waNUXaL41ikvwO8iONV3uFV7q2eYyQVEs0EzcyRcn8FEpq-ZvDT5KF3xAAUnWYtA,"['NA1_4324458575', 'NA1_4306789294', 'NA1_4300441242', 'NA1_4299542633', 'NA1_4299465488', 'NA1_4299427613', 'NA1_4299424200', 'NA1_4299307459', 'NA1_4299292713', 'NA1_4298634172']"
67,aBkswmFRxP63ym3udfgmhtCYEv-YEChK0JLYRPTdMsu-M01pDqoSmcDxkjhjg4CvYKGA5L5nMjlkSw,"['NA1_4333193960', 'NA1_4333190395', 'NA1_4333116078', 'NA1_4333121196', 'NA1_4330786320', 'NA1_4330750212', 'NA1_4330734773', 'NA1_4330638068', 'NA1_4329531048', 'NA1_4329494604']"
68,Xi7MQ7pNqo1H3qvz1MQ2lzcV2MaRLhcU3mBst06l6ju2B47yj8aDPZsq-MPkD9Gziu64taNuHPJxEQ,"['NA1_4334162497', 'NA1_4334105830', 'NA1_4334119803', 'NA1_4332879854', 'NA1_4332776279', 'NA1_4332707887', 'NA1_4332711164', 'NA1_4332645783', 'NA1_4331935183', 'NA1_4331888956']"
69,BuoRX6w-eo3kzynYYD218EZZ4G3ID1rH2R8AYq0tPsdaaVcSjfkxWhbUGO3IBW9UBiuIDoNS_cPDxw,"['NA1_4334371552', 'NA1_4334295595', 'NA1_4334219698', 'NA1_4333159791', 'NA1_4333144835', 'NA1_4331221232', 'NA1_4331153526', 'NA1_4329002126', 'NA1_4328041300', 'NA1_4326830227']"
70,aQvU18rL_gGiICSIGDsR5EuUlIMBx1k_WMozBHmSH5OzHjsjuwjIcnB5oBmkztNYuUh-M8Do-W3LkQ,"['NA1_4290872038', 'NA1_4284625807', 'NA1_4260779236', 'NA1_4260438367', 'NA1_4258557692', 'NA1_4258540978', 'NA1_4258504488', 'NA1_4257562383', 'NA1_4257475077', 'NA1_4211403602']"
71,0wxo3kewtv-bJqC3ppdQKub-2KcX1Mk2QalohqCU1JTn8sGnZVIgBZQ5zJHfQPRt2txRT53jKQTwfw,"['NA1_4309308123', 'NA1_4308080101', 'NA1_4308024312', 'NA1_4307969472', 'NA1_4307957149', 'NA1_4301934656', 'NA1_4299181134', 'NA1_4299115954', 'NA1_4297885426', 'NA1_4297843720']"
72,1j1ZWpg1lkw42N18If3k3kIWB5kXDxbin-DwB1smMAjIg-LJs1k4RuAZHEDkVX7NXaTF1hhu3CjwMw,"['NA1_4334095539', 'NA1_4334055590', 'NA1_4334018649', 'NA1_4333534359', 'NA1_4333531538', 'NA1_4333368567', 'NA1_4330064154', 'NA1_4330101021', 'NA1_4323119880', 'NA1_4321966559']"
